hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,embedding,1,0,2666
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,1,0,17525
RTX3090,meta-llama/Llama-3.1-8B,q_proj,1,0,45895
RTX3090,meta-llama/Llama-3.1-8B,k_proj,1,0,13623
RTX3090,meta-llama/Llama-3.1-8B,v_proj,1,0,13421
RTX3090,meta-llama/Llama-3.1-8B,rope,1,0,25586
RTX3090,meta-llama/Llama-3.1-8B,attn,1,0,6761
RTX3090,meta-llama/Llama-3.1-8B,o_proj,1,0,46714
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,1,0,18440
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,1,0,153271
RTX3090,meta-llama/Llama-3.1-8B,act_fn,1,0,2458
RTX3090,meta-llama/Llama-3.1-8B,up_proj,1,0,152221
RTX3090,meta-llama/Llama-3.1-8B,down_proj,1,0,150141
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,1,0,17576
RTX3090,meta-llama/Llama-3.1-8B,lm_head,1,0,1184846
RTX3090,meta-llama/Llama-3.1-8B,embedding,2,0,3216
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,2,0,19847
RTX3090,meta-llama/Llama-3.1-8B,q_proj,2,0,45763
RTX3090,meta-llama/Llama-3.1-8B,k_proj,2,0,21860
RTX3090,meta-llama/Llama-3.1-8B,v_proj,2,0,21544
RTX3090,meta-llama/Llama-3.1-8B,rope,2,0,30126
RTX3090,meta-llama/Llama-3.1-8B,attn,2,0,6498
RTX3090,meta-llama/Llama-3.1-8B,o_proj,2,0,47076
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,2,0,20737
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,2,0,147077
RTX3090,meta-llama/Llama-3.1-8B,act_fn,2,0,2441
RTX3090,meta-llama/Llama-3.1-8B,up_proj,2,0,147455
RTX3090,meta-llama/Llama-3.1-8B,down_proj,2,0,144822
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,2,0,20117
RTX3090,meta-llama/Llama-3.1-8B,lm_head,2,0,1212259
RTX3090,meta-llama/Llama-3.1-8B,embedding,3,0,3707
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,3,0,19841
RTX3090,meta-llama/Llama-3.1-8B,q_proj,3,0,45692
RTX3090,meta-llama/Llama-3.1-8B,k_proj,3,0,21785
RTX3090,meta-llama/Llama-3.1-8B,v_proj,3,0,21599
RTX3090,meta-llama/Llama-3.1-8B,rope,3,0,29741
RTX3090,meta-llama/Llama-3.1-8B,attn,3,0,6504
RTX3090,meta-llama/Llama-3.1-8B,o_proj,3,0,47073
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,3,0,20628
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,3,0,147354
RTX3090,meta-llama/Llama-3.1-8B,act_fn,3,0,2452
RTX3090,meta-llama/Llama-3.1-8B,up_proj,3,0,147693
RTX3090,meta-llama/Llama-3.1-8B,down_proj,3,0,145269
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,3,0,19927
RTX3090,meta-llama/Llama-3.1-8B,lm_head,3,0,1214412
RTX3090,meta-llama/Llama-3.1-8B,embedding,4,0,4228
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,4,0,20504
RTX3090,meta-llama/Llama-3.1-8B,q_proj,4,0,45767
RTX3090,meta-llama/Llama-3.1-8B,k_proj,4,0,21769
RTX3090,meta-llama/Llama-3.1-8B,v_proj,4,0,21634
RTX3090,meta-llama/Llama-3.1-8B,rope,4,0,30368
RTX3090,meta-llama/Llama-3.1-8B,attn,4,0,6489
RTX3090,meta-llama/Llama-3.1-8B,o_proj,4,0,47143
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,4,0,21368
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,4,0,147370
RTX3090,meta-llama/Llama-3.1-8B,act_fn,4,0,2490
RTX3090,meta-llama/Llama-3.1-8B,up_proj,4,0,147876
RTX3090,meta-llama/Llama-3.1-8B,down_proj,4,0,144931
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,4,0,20734
RTX3090,meta-llama/Llama-3.1-8B,lm_head,4,0,1216279
RTX3090,meta-llama/Llama-3.1-8B,embedding,5,0,4935
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,5,0,20498
RTX3090,meta-llama/Llama-3.1-8B,q_proj,5,0,45748
RTX3090,meta-llama/Llama-3.1-8B,k_proj,5,0,21807
RTX3090,meta-llama/Llama-3.1-8B,v_proj,5,0,21611
RTX3090,meta-llama/Llama-3.1-8B,rope,5,0,29840
RTX3090,meta-llama/Llama-3.1-8B,attn,5,0,6515
RTX3090,meta-llama/Llama-3.1-8B,o_proj,5,0,47195
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,5,0,21306
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,5,0,147470
RTX3090,meta-llama/Llama-3.1-8B,act_fn,5,0,2526
RTX3090,meta-llama/Llama-3.1-8B,up_proj,5,0,147920
RTX3090,meta-llama/Llama-3.1-8B,down_proj,5,0,144915
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,5,0,20768
RTX3090,meta-llama/Llama-3.1-8B,lm_head,5,0,1218829
RTX3090,meta-llama/Llama-3.1-8B,embedding,6,0,5394
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,6,0,20710
RTX3090,meta-llama/Llama-3.1-8B,q_proj,6,0,46018
RTX3090,meta-llama/Llama-3.1-8B,k_proj,6,0,21790
RTX3090,meta-llama/Llama-3.1-8B,v_proj,6,0,21575
RTX3090,meta-llama/Llama-3.1-8B,rope,6,0,30192
RTX3090,meta-llama/Llama-3.1-8B,attn,6,0,6512
RTX3090,meta-llama/Llama-3.1-8B,o_proj,6,0,47290
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,6,0,21577
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,6,0,147647
RTX3090,meta-llama/Llama-3.1-8B,act_fn,6,0,2596
RTX3090,meta-llama/Llama-3.1-8B,up_proj,6,0,147794
RTX3090,meta-llama/Llama-3.1-8B,down_proj,6,0,144954
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,6,0,20946
RTX3090,meta-llama/Llama-3.1-8B,lm_head,6,0,1220689
RTX3090,meta-llama/Llama-3.1-8B,embedding,7,0,5796
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,7,0,20285
RTX3090,meta-llama/Llama-3.1-8B,q_proj,7,0,46028
RTX3090,meta-llama/Llama-3.1-8B,k_proj,7,0,21498
RTX3090,meta-llama/Llama-3.1-8B,v_proj,7,0,21200
RTX3090,meta-llama/Llama-3.1-8B,rope,7,0,29384
RTX3090,meta-llama/Llama-3.1-8B,attn,7,0,6371
RTX3090,meta-llama/Llama-3.1-8B,o_proj,7,0,46925
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,7,0,21221
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,7,0,146528
RTX3090,meta-llama/Llama-3.1-8B,act_fn,7,0,2573
RTX3090,meta-llama/Llama-3.1-8B,up_proj,7,0,146743
RTX3090,meta-llama/Llama-3.1-8B,down_proj,7,0,142766
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,7,0,20567
RTX3090,meta-llama/Llama-3.1-8B,lm_head,7,0,1220791
RTX3090,meta-llama/Llama-3.1-8B,embedding,8,0,6451
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,8,0,22191
RTX3090,meta-llama/Llama-3.1-8B,q_proj,8,0,46060
